feature_space,author,title,predicted_top1,predicted_top2,predicted_top3,top1_correct,top3_correct,top3_scores
tfidf_word,김유정,금_따는_콩밭,김유정,강경애,이무영,True,True,김유정:0.0528; 강경애:0.0387; 이무영:0.0360
tfidf_word,김유정,동백꽃,김유정,심훈,나도향,True,True,김유정:0.0645; 심훈:0.0428; 나도향:0.0426
tfidf_word,김유정,땡볕,김유정,강경애,나도향,True,True,김유정:0.0509; 강경애:0.0430; 나도향:0.0400
tfidf_word,김유정,만무방,김유정,강경애,이무영,True,True,김유정:0.0737; 강경애:0.0676; 이무영:0.0584
tfidf_word,김유정,봄봄,김유정,이무영,강경애,True,True,김유정:0.0689; 이무영:0.0514; 강경애:0.0488
tfidf_word,이상,12월_12일,강경애,나도향,이광수,False,False,강경애:0.0843; 나도향:0.0763; 이광수:0.0760
tfidf_word,이상,권태,이상,강경애,조명희,True,True,이상:0.0629; 강경애:0.0449; 조명희:0.0433
tfidf_word,이상,날개,이상,강경애,백신애,True,True,이상:0.0810; 강경애:0.0694; 백신애:0.0616
tfidf_word,이상,실화,이상,강경애,나도향,True,True,이상:0.0490; 강경애:0.0359; 나도향:0.0346
tfidf_word,이상,종생기,이상,강경애,백신애,True,True,이상:0.0604; 강경애:0.0423; 백신애:0.0414
tfidf_word,이효석,개살구,이효석,강경애,나도향,True,True,이효석:0.0675; 강경애:0.0568; 나도향:0.0534
tfidf_word,이효석,도시와_유령,강경애,이상,나도향,False,False,강경애:0.0547; 이상:0.0500; 나도향:0.0481
tfidf_word,이효석,모밀꽃_필_무렵,이효석,강경애,이무영,True,True,이효석:0.0450; 강경애:0.0376; 이무영:0.0363
tfidf_word,이효석,산협,이효석,강경애,백신애,True,True,이효석:0.0701; 강경애:0.0597; 백신애:0.0572
tfidf_word,이효석,하얼빈,이상,이효석,이무영,False,True,이상:0.0500; 이효석:0.0484; 이무영:0.0429
tfidf_word,현진건,B사감과_러브레터,현진건,나도향,이광수,True,True,현진건:0.0412; 나도향:0.0395; 이광수:0.0394
tfidf_word,현진건,고향,강경애,이무영,이광수,False,False,강경애:0.0402; 이무영:0.0399; 이광수:0.0391
tfidf_word,현진건,빈처,강경애,이광수,나도향,False,False,강경애:0.0650; 이광수:0.0625; 나도향:0.0624
tfidf_word,현진건,운수_좋은_날,강경애,이광수,현진건,False,True,강경애:0.0516; 이광수:0.0500; 현진건:0.0493
tfidf_word,현진건,할머니의_죽음,현진건,나도향,이광수,True,True,현진건:0.0513; 나도향:0.0490; 이광수:0.0486
tfidf_word,채만식,레디메이드_인생,강경애,이광수,이상,False,False,강경애:0.0629; 이광수:0.0613; 이상:0.0555
tfidf_word,채만식,미스터_방,채만식,이무영,이광수,True,True,채만식:0.0515; 이무영:0.0424; 이광수:0.0400
tfidf_word,채만식,치숙,채만식,이무영,백신애,True,True,채만식:0.0558; 이무영:0.0466; 백신애:0.0410
tfidf_word,채만식,태평천하,채만식,이무영,강경애,True,True,채만식:0.0711; 이무영:0.0598; 강경애:0.0568
tfidf_word,채만식,허생전,채만식,이광수,이무영,True,True,채만식:0.0715; 이광수:0.0662; 이무영:0.0602
tfidf_word,이광수,가실,이광수,강경애,나도향,True,True,이광수:0.0718; 강경애:0.0633; 나도향:0.0600
tfidf_word,이광수,단종애사,이광수,강경애,나도향,True,True,이광수:0.0706; 강경애:0.0643; 나도향:0.0628
tfidf_word,이광수,무명,강경애,나도향,이광수,False,True,강경애:0.0728; 나도향:0.0716; 이광수:0.0715
tfidf_word,이광수,소년의_비애,이광수,나도향,강경애,True,True,이광수:0.0619; 나도향:0.0472; 강경애:0.0439
